3708	112.7
3781	115.5
4027	85.2
4290	85.7
4545	49.5
4546	165.4
4798	62.2
4812	55.2
5628	137.6
5764	65.2
5815	33.0
6209	85.1
6210	115.5
6299	152.7
6710	126.7
6990	124.9
7064	86.3
7079	147.7
7161	124.1
7797	100.9
8424	83.6
8541	85.1
8886	204.7
9048	139.9
9377	47.6
9527	105.4
9793	79.9
11093	91.1
11503	62.3
11549	110.2
11918	39.3
12126	76.1
12533	45.3
12596	64.9
12670	106.1
12928	73.1
13329	33.8
13342	32.6
13400	82.7
13760	37.9
14361	35.4
14402	88.4
14404	81.4
14868	69.6
14902	88.1
15169	59.9
15470	39.2
15700	9.3
15734	20.0
