1	9377	0	4798	0	7079	0	6209	0
2	14868	0	5628	0	15700	0	6990	0
3	15169	0	6710	0	11503	0	6299	0
4	12126	0	11918	0	7064	0	15470	0
5	4545	0	12670	0	13342	0	12596	0
6	12533	0	3781	0	14902	0	7797	0
7	11549	0	8541	0	13400	0	9793	0
8	9048	0	6210	0	4546	0	9527	0
9	8886	0	14402	0	7161	0	8424	0
10	14404	0	4027	0	14361	0	13760	0
11	13329	0	5815	0	12928	0	4812	0
12	5764	0	15734	0	4290	0	11093	0
13	3708	0	4545	0	6209	0	15169	0
14	6299	0	13400	0	6210	0	12126	0
15	15470	0	11503	0	4798	0	14402	0
16	11918	0	6710	0	9377	0	8886	0
17	14361	0	12928	0	14902	0	13342	0
18	11093	0	9048	0	7064	0	12533	0
19	4546	0	7079	0	5628	0	4290	0
20	6990	0	15734	0	9527	0	9793	0
21	11549	0	7797	0	4027	0	12596	0
22	3781	0	15700	0	13760	0	13329	0
23	7161	0	12670	0	5764	0	14868	0
24	4812	0	3708	0	8424	0	8541	0
25	14404	0	6209	0	5815	0	15470	0
26	12533	1	9377	0	6210	1	14361	0
27	9793	1	11093	0	4027	0	13342	0
28	12596	0	13760	0	8886	0	6299	0
29	13400	0	7064	0	5764	0	4545	0
30	4798	0	9048	0	4812	0	14868	0
31	15169	0	4546	0	15700	0	5815	0
32	3781	0	7161	0	8541	0	5628	0
33	7079	0	12670	0	11918	0	14404	0
34	13329	0	14902	0	6710	0	15734	0
35	9527	0	8424	0	4290	0	7797	0
36	14402	0	6990	0	12928	0	11549	0
37	12126	0	11503	0	3708	0	15700	0
38	5815	0	5764	0	9048	0	5628	0
39	8541	0	15169	0	13760	0	6210	0
40	6299	0	14868	0	4545	0	7079	0
41	4798	0	13400	0	7797	0	11093	0
42	13342	0	4812	0	14404	0	3781	0
43	6710	0	12126	0	6990	0	12533	0
44	9793	0	13329	0	12670	0	4546	0
45	15734	0	12928	0	12596	0	11918	0
46	14361	0	8424	0	11503	0	6209	0
47	15470	0	9527	0	3708	0	8886	0
48	14902	0	11549	0	9377	0	7161	0
49	4027	0	7064	0	14402	0	4290	0
50	12533	0	13760	0	13400	0	4546	0
51	6210	0	5764	0	3781	0	12928	0
52	11093	0	6990	0	13329	0	8541	0
53	15470	0	14361	0	4812	0	7079	0
54	8424	0	11918	0	11549	0	4798	0
55	9793	0	7064	0	6710	0	15700	0
56	14868	0	12596	0	15169	0	9527	0
57	7797	0	14402	0	12126	0	14404	0
58	5628	0	4027	0	15734	0	9377	0
59	5815	0	8886	0	12670	0	14902	0
60	4545	0	4290	0	11503	0	7161	0
61	13342	0	3708	0	6299	0	9048	0
62	6209	0	12533	0	6210	0	9793	0
